"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","53","57","6","0"
"05-09","63","60","3","0"
"10-14","83","85","4","0"
"15-19","151","131","5","0"
"20-24","232","258","9","0"
"25-29","236","249","18","0"
"30-34","210","220","20","0"
"35-39","185","173","10","0"
"40-44","177","172","19","0"
"45-49","183","201","26","3"
"50-54","259","245","32","0"
"55-59","230","255","51","6"
"60-64","146","145","47","8"
"65-69","88","101","52","10"
"70-74","85","80","51","18"
"75-79","115","87","93","27"
"80-84","115","106","109","37"
"85-89","76","39","54","27"
"90+","73","24","29","27"

"Datenstand 14.10.2020 19:04:02"
