"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","70","74","7","0"
"05-09","83","75","4","0"
"10-14","111","107","4","0"
"15-19","182","170","7","0"
"20-24","276","302","10","0"
"25-29","283","294","18","0"
"30-34","248","260","23","0"
"35-39","225","215","13","1"
"40-44","210","207","19","0"
"45-49","211","230","27","3"
"50-54","302","291","37","0"
"55-59","270","298","55","6"
"60-64","181","175","52","8"
"65-69","106","118","56","10"
"70-74","101","94","57","18"
"75-79","132","101","103","27"
"80-84","135","121","116","38"
"85-89","84","45","59","26"
"90+","86","28","32","27"

"Datenstand 23.10.2020 20:01:48"
