"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","711","714","39","1"
"05-09","845","902","18","0"
"10-14","867","1.066","21","0"
"15-19","1.280","1.342","38","0"
"20-24","1.617","1.664","83","0"
"25-29","1.500","1.513","94","0"
"30-34","1.454","1.620","114","2"
"35-39","1.384","1.447","127","2"
"40-44","1.421","1.315","140","1"
"45-49","1.365","1.236","152","3"
"50-54","1.480","1.563","202","13"
"55-59","1.414","1.437","243","22"
"60-64","875","1.006","239","25"
"65-69","492","576","221","40"
"70-74","502","503","294","72"
"75-79","526","472","357","121"
"80-84","811","528","505","223"
"85-89","647","318","339","197"
"90+","679","194","235","212"

"Datenstand 21.07.2021 18:11:38"
