"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","250,33","787","+2","139","+1","47",""
"Stormarn","OD","235,20","572","+2","56","+2","35",""
"Kiel","KI","181,78","450","","79","","11",""
"Segeberg","SE","158,68","438","+2","45","","7",""
"Herzogtum Lauenburg","RZ","170,33","336","+6","51","","18",""
"Rendsburg-Eckernförde","RD","122,81","335","","51","","14",""
"Lübeck","HL","110,96","241","","12","","1",""
"Steinburg","IZ","153,79","202","","25","","3",""
"Schleswig-Flensburg","SL","90,99","182","+1","21","","4",""
"Dithmarschen","HEI","126,12","168","","27","","5",""
"Plön","PLO","122,82","158","+1","35","","8",""
"Neumünster","NMS","179,90","143","+6","10","","3",""
"Nordfriesland","NF","67,67","112","","16","","2",""
"Ostholstein","OH","51,85","104","+2","15","","0",""
"Flensburg","FL","92,73","83","+1","6","","3",""
"-"
"Schleswig-Holstein","SH","148,82","4.311","+23","588","+3","161",""

"Datenstand 16.09.2020 19:05:05"
