"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","82","81","7","0"
"05-09","96","92","4","0"
"10-14","132","123","4","0"
"15-19","226","207","8","0"
"20-24","320","366","12","0"
"25-29","331","351","22","0"
"30-34","291","306","26","0"
"35-39","262","261","17","2"
"40-44","255","245","19","1"
"45-49","261","274","33","3"
"50-54","358","357","37","0"
"55-59","318","350","59","6"
"60-64","208","214","53","8"
"65-69","118","134","61","10"
"70-74","119","102","59","20"
"75-79","149","113","107","29"
"80-84","161","136","127","40"
"85-89","94","52","63","27"
"90+","102","30","39","28"

"Datenstand 29.10.2020 20:01:43"
