"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.835,48","5.802","+12","611","+4","212",""
"Segeberg","SE","1.469,47","4.073","","214","+1","89",""
"Stormarn","OD","1.468,32","3.585","+3","324","","117",""
"Herzogtum Lauenburg","RZ","1.637,22","3.242","","219","","69",""
"Lübeck","HL","1.366,55","2.959","+10","258","","72",""
"Kiel","KI","1.178,72","2.909","+12","238","","53",""
"Rendsburg-Eckernförde","RD","816,86","2.239","+2","187","+1","30",""
"Ostholstein","OH","1.070,12","2.146","+5","231","+1","65",""
"Schleswig-Flensburg","SL","962,93","1.937","","82","","29",""
"Flensburg","FL","1.938,69","1.748","+1","106","","29",""
"Nordfriesland","NF","1.019,58","1.692","+15","205","","52",""
"Steinburg","IZ","1.085,39","1.422","","103","","16",""
"Neumünster","NMS","1.370,39","1.099","","83","","9",""
"Dithmarschen","HEI","733,52","977","+3","83","","13",""
"Plön","PLO","597,58","769","+3","98","+2","17","+1"
"-"
"Schleswig-Holstein","SH","1.260,39","36.599","+66","3.042","+9","872","+1"

"Datenstand 16.05.2021 19:48:30"
