"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","263","297","14","0"
"05-09","262","329","5","0"
"10-14","322","376","10","0"
"15-19","579","617","17","0"
"20-24","849","837","27","0"
"25-29","808","788","40","0"
"30-34","763","849","47","1"
"35-39","683","745","58","0"
"40-44","753","631","62","0"
"45-49","754","616","60","1"
"50-54","838","845","88","3"
"55-59","813","790","112","10"
"60-64","496","553","122","16"
"65-69","296","353","130","25"
"70-74","304","335","177","49"
"75-79","377","337","229","85"
"80-84","662","419","379","179"
"85-89","562","262","248","167"
"90+","615","175","180","180"

"Datenstand 18.03.2021 20:07:48"
