"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","191","203","12","0"
"05-09","262","262","7","0"
"10-14","362","346","10","0"
"15-19","597","595","19","0"
"20-24","716","796","22","0"
"25-29","677","748","38","0"
"30-34","655","659","52","0"
"35-39","631","600","36","2"
"40-44","614","575","40","1"
"45-49","619","628","69","3"
"50-54","742","772","69","0"
"55-59","652","676","101","8"
"60-64","421","448","96","10"
"65-69","227","271","87","12"
"70-74","241","209","125","30"
"75-79","258","213","158","39"
"80-84","314","227","198","73"
"85-89","204","106","103","56"
"90+","232","56","72","49"

"Datenstand 10.12.2020 21:18:33"
