"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","545,50","1.715","","129","","35",""
"Segeberg","SE","311,56","860","+8","35","+2","28","+4"
"Stormarn","OD","334,71","814","+5","65","+2","10",""
"Lübeck","HL","357,28","776","+19","80","+24","13","+1"
"Nordfriesland","NF","373,40","618","+9","104","","7",""
"Herzogtum Lauenburg","RZ","310,75","613","+8","22","+2","15","+3"
"Kiel","KI","246,82","611","+14","71","+5","19","+1"
"Ostholstein","OH","261,24","524","+11","85","+6","9",""
"Rendsburg-Eckernförde","RD","185,50","506","+11","51","+2","3",""
"Flensburg","FL","490,48","439","+2","18","+1","8",""
"Schleswig-Flensburg","SL","209,47","419","+4","21","+1","7",""
"Steinburg","IZ","207,85","273","+5","13","+1","1",""
"Neumünster","NMS","342,19","272","+8","22","+1","2","+1"
"Dithmarschen","HEI","189,93","253","+3","16","+2","3","+1"
"Plön","PLO","136,81","176","+5","37","+2","4",""
"-"
"Schleswig-Holstein","SH","306,17","8.869","+112","769","+51","164","+11"

"Datenstand 25.01.2021 21:01:41"
