"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.483,69","4.690","+50","454","+2","187",""
"Segeberg","SE","1.222,33","3.388","+59","122","+1","82",""
"Stormarn","OD","1.096,43","2.677","+39","268","+2","109","+1"
"Herzogtum Lauenburg","RZ","1.251,40","2.478","+62","178","+2","66",""
"Lübeck","HL","1.128,25","2.443","+24","236","+2","67",""
"Kiel","KI","798,24","1.970","+39","177","+4","47",""
"Rendsburg-Eckernförde","RD","627,51","1.720","+21","150","+5","24","+1"
"Schleswig-Flensburg","SL","807,83","1.625","+15","71","","24",""
"Flensburg","FL","1.776,76","1.602","+4","103","+1","29",""
"Ostholstein","OH","791,37","1.587","+25","193","+1","60",""
"Nordfriesland","NF","854,47","1.418","+21","191","","47",""
"Steinburg","IZ","768,63","1.007","+23","71","+4","10","+1"
"Neumünster","NMS","1.067,38","856","+9","65","","8",""
"Dithmarschen","HEI","493,27","657","","56","","9",""
"Plön","PLO","422,73","544","+11","77","","14",""
"-"
"Schleswig-Holstein","SH","987,06","28.662","+402","2.412","+24","783","+3"

"Datenstand 13.04.2021 20:15:14"
