"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","935","956","51","1"
"05-09","1.310","1.367","26","0"
"10-14","1.474","1.673","29","0"
"15-19","1.794","1.892","51","0"
"20-24","2.077","2.183","104","0"
"25-29","1.918","1.976","131","0"
"30-34","1.857","2.058","157","2"
"35-39","1.765","1.780","169","3"
"40-44","1.795","1.638","178","4"
"45-49","1.628","1.515","174","4"
"50-54","1.717","1.790","241","16"
"55-59","1.580","1.627","280","25"
"60-64","972","1.140","267","25"
"65-69","557","637","249","45"
"70-74","540","538","310","77"
"75-79","555","507","379","125"
"80-84","857","563","537","228"
"85-89","681","336","353","203"
"90+","725","205","251","217"

"Datenstand 15.09.2021 18:50:49"
