"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","32","40","4","0"
"05-09","48","48","3","0"
"10-14","56","60","4","0"
"15-19","100","83","5","0"
"20-24","167","168","7","0"
"25-29","186","176","17","0"
"30-34","157","162","15","0"
"35-39","158","128","10","0"
"40-44","144","137","15","0"
"45-49","142","158","22","3"
"50-54","216","203","26","0"
"55-59","200","211","49","6"
"60-64","116","114","43","8"
"65-69","80","88","50","10"
"70-74","73","72","49","18"
"75-79","105","81","89","26"
"80-84","105","96","103","37"
"85-89","70","35","49","26"
"90+","72","21","28","27"

"Datenstand 16.09.2020 19:05:05"
