"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","181","193","12","0"
"05-09","246","249","5","0"
"10-14","340","324","9","0"
"15-19","559","552","19","0"
"20-24","663","751","22","0"
"25-29","632","719","36","0"
"30-34","618","615","51","0"
"35-39","589","553","34","2"
"40-44","565","539","37","1"
"45-49","583","583","66","3"
"50-54","698","714","66","0"
"55-59","604","643","97","8"
"60-64","394","423","88","10"
"65-69","214","250","84","12"
"70-74","225","197","119","27"
"75-79","242","198","156","39"
"80-84","277","210","188","68"
"85-89","174","93","98","52"
"90+","180","48","68","47"

"Datenstand 07.12.2020 20:21:48"
