"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","138","148","10","0"
"05-09","194","184","4","0"
"10-14","256","236","8","0"
"15-19","433","429","14","0"
"20-24","523","615","17","0"
"25-29","513","596","34","0"
"30-34","503","511","46","0"
"35-39","472","448","29","2"
"40-44","445","435","30","1"
"45-49","465","481","52","3"
"50-54","563","565","54","0"
"55-59","499","531","82","6"
"60-64","317","353","72","10"
"65-69","181","207","74","10"
"70-74","189","159","93","25"
"75-79","192","165","133","33"
"80-84","222","178","158","57"
"85-89","133","72","80","42"
"90+","132","41","58","45"

"Datenstand 21.11.2020 20:52:35"
