"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","516,24","1.623","+43","185","+3","48",""
"Stormarn","OD","495,90","1.206","+33","68","+1","42","+2"
"Segeberg","SE","388,36","1.072","+42","84","+3","20","+4"
"Kiel","KI","311,05","770","+26","109","+1","14",""
"Lübeck","HL","346,23","752","+49","25","","4","-1"
"Herzogtum Lauenburg","RZ","350,29","691","+12","59","","19",""
"Rendsburg-Eckernförde","RD","240,86","657","+8","70","+1","15",""
"Nordfriesland","NF","277,93","460","+13","31","+2","2",""
"Dithmarschen","HEI","335,56","447","+11","62","+3","12","+1"
"Schleswig-Flensburg","SL","209,47","419","+10","31","","6",""
"Ostholstein","OH","183,47","368","+5","26","+1","1",""
"Steinburg","IZ","247,44","325","+12","33","","3",""
"Neumünster","NMS","390,00","310","+3","15","","3",""
"Plön","PLO","192,78","248","+6","48","","8",""
"Flensburg","FL","267,03","239","+1","9","","3",""
"-"
"Schleswig-Holstein","SH","330,96","9.587","+274","855","+15","200","+6"

"Datenstand 06.11.2020 20:08:21"
