"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.050,60","6.482","+11","674","","226",""
"Segeberg","SE","1.617,03","4.482","+8","372","","94",""
"Stormarn","OD","1.632,15","3.985","","361","","129",""
"Herzogtum Lauenburg","RZ","1.775,08","3.515","","260","","75",""
"Lübeck","HL","1.541,59","3.338","","270","","75",""
"Kiel","KI","1.345,66","3.321","+1","278","","59",""
"Rendsburg-Eckernförde","RD","912,81","2.502","","206","","35",""
"Ostholstein","OH","1.161,87","2.330","+1","240","","67",""
"Schleswig-Flensburg","SL","1.011,16","2.034","+1","88","","31",""
"Nordfriesland","NF","1.150,94","1.910","+2","218","+2","54",""
"Flensburg","FL","2.029,63","1.830","+5","111","","29",""
"Steinburg","IZ","1.186,14","1.554","+3","144","","21",""
"Neumünster","NMS","1.537,48","1.233","","94","","9",""
"Dithmarschen","HEI","799,59","1.065","+8","92","","20",""
"Plön","PLO","651,97","839","","108","","18",""
"-"
"Schleswig-Holstein","SH","1.391,98","40.420","+40","3.516","+2","942",""

"Datenstand 01.08.2021 18:38:06"
