"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.631,74","8.319","+16","788","+1","240",""
"Segeberg","SE","2.030,49","5.628","","447","","100",""
"Stormarn","OD","2.107,26","5.145","","455","","140",""
"Kiel","KI","2.068,53","5.105","+11","376","","67",""
"Herzogtum Lauenburg","RZ","2.219,99","4.396","","291","","79",""
"Lübeck","HL","2.019,12","4.372","","294","","75",""
"Rendsburg-Eckernförde","RD","1.224,38","3.356","","233","","42",""
"Ostholstein","OH","1.392,75","2.793","+1","262","","67",""
"Schleswig-Flensburg","SL","1.227,41","2.469","+5","105","","32",""
"Flensburg","FL","2.650,73","2.390","+6","125","","29",""
"Nordfriesland","NF","1.429,34","2.372","","253","+1","56",""
"Steinburg","IZ","1.556,33","2.039","","174","","25",""
"Neumünster","NMS","2.320,56","1.861","+4","124","","10",""
"Dithmarschen","HEI","1.253,82","1.670","+4","137","","23",""
"Plön","PLO","989,23","1.273","","146","","22",""
"-"
"Schleswig-Holstein","SH","1.831,69","53.188","+47","4.210","+2","1.007",""

"Datenstand 17.10.2021 18:58:34"
