"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","674","672","31","1"
"05-09","778","853","13","0"
"10-14","817","985","21","0"
"15-19","1.193","1.248","34","0"
"20-24","1.525","1.560","72","0"
"25-29","1.418","1.439","82","0"
"30-34","1.384","1.550","102","1"
"35-39","1.321","1.382","110","2"
"40-44","1.369","1.261","124","1"
"45-49","1.313","1.176","145","3"
"50-54","1.434","1.504","178","9"
"55-59","1.370","1.393","219","20"
"60-64","849","969","215","22"
"65-69","484","561","208","39"
"70-74","490","496","269","70"
"75-79","520","469","337","118"
"80-84","798","517","488","211"
"85-89","639","314","318","192"
"90+","673","191","225","204"

"Datenstand 27.05.2021 20:25:44"
