"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","54","47","4","0"
"05-09","48","40","1","0"
"10-14","75","77","4","0"
"15-19","157","149","3","0"
"20-24","261","236","6","0"
"25-29","258","214","15","0"
"30-34","197","241","11","0"
"35-39","187","215","13","0"
"40-44","199","152","6","0"
"45-49","209","144","12","0"
"50-54","243","224","14","0"
"55-59","224","192","24","0"
"60-64","164","145","29","0"
"65-69","90","108","22","1"
"70-74","99","117","47","3"
"75-79","123","134","57","13"
"80-84","221","144","97","24"
"85-89","195","93","56","16"
"90+","199","60","45","16"

"Datenstand 17.01.2021 20:16:42"
