"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","852","840","45","1"
"05-09","1.140","1.188","25","0"
"10-14","1.261","1.481","27","0"
"15-19","1.630","1.672","46","0"
"20-24","1.925","1.996","97","0"
"25-29","1.764","1.776","109","0"
"30-34","1.688","1.846","131","2"
"35-39","1.618","1.661","153","2"
"40-44","1.660","1.505","168","1"
"45-49","1.516","1.404","167","3"
"50-54","1.622","1.703","227","15"
"55-59","1.508","1.557","269","23"
"60-64","933","1.081","255","25"
"65-69","532","616","241","42"
"70-74","518","523","298","75"
"75-79","540","493","368","123"
"80-84","830","540","517","225"
"85-89","661","325","347","198"
"90+","699","200","243","215"

"Datenstand 26.08.2021 18:45:42"
