"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","573","588","23","1"
"05-09","636","715","10","0"
"10-14","674","819","15","0"
"15-19","1.024","1.089","29","0"
"20-24","1.346","1.392","55","0"
"25-29","1.283","1.292","66","0"
"30-34","1.242","1.403","80","1"
"35-39","1.169","1.262","92","1"
"40-44","1.236","1.138","106","1"
"45-49","1.154","1.054","116","2"
"50-54","1.306","1.373","145","5"
"55-59","1.245","1.256","179","18"
"60-64","772","875","172","20"
"65-69","445","513","182","34"
"70-74","455","454","231","65"
"75-79","494","441","301","106"
"80-84","766","502","451","196"
"85-89","626","302","286","181"
"90+","662","187","200","194"

"Datenstand 01.05.2021 19:06:38"
