"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","254","286","12","0"
"05-09","252","317","4","0"
"10-14","315","371","10","0"
"15-19","567","606","17","0"
"20-24","837","825","27","0"
"25-29","801","776","39","0"
"30-34","748","839","46","1"
"35-39","674","734","56","0"
"40-44","742","625","60","0"
"45-49","747","605","59","1"
"50-54","825","826","88","3"
"55-59","802","776","109","9"
"60-64","486","546","120","16"
"65-69","293","348","130","25"
"70-74","300","333","173","48"
"75-79","376","336","229","85"
"80-84","660","419","378","178"
"85-89","560","262","247","166"
"90+","615","175","180","180"

"Datenstand 17.03.2021 20:06:43"
