"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","313,62","986","","146","","47",""
"Stormarn","OD","308,80","751","","61","","35",""
"Segeberg","SE","217,73","601","+15","50","","7",""
"Kiel","KI","203,60","504","","81","","12",""
"Rendsburg-Eckernförde","RD","149,94","409","","56","","14",""
"Herzogtum Lauenburg","RZ","202,77","400","","53","","18",""
"Lübeck","HL","163,45","355","","15","","1",""
"Dithmarschen","HEI","190,68","254","","36","","5",""
"Steinburg","IZ","191,86","252","","26","","3",""
"Schleswig-Flensburg","SL","114,49","229","+6","22","","5",""
"Neumünster","NMS","264,19","210","+3","13","","3",""
"Ostholstein","OH","89,74","180","","20","","0",""
"Plön","PLO","137,59","177","","36","","8",""
"Nordfriesland","NF","101,51","168","+1","20","","2",""
"Flensburg","FL","167,59","150","+1","9","","3",""
"-"
"Schleswig-Holstein","SH","194,22","5.626","+26","644","","163",""

"Datenstand 17.10.2020 19:25:57"
