"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","136","142","11","0"
"05-09","131","150","2","0"
"10-14","173","193","8","0"
"15-19","351","324","8","0"
"20-24","558","510","17","0"
"25-29","553","487","25","0"
"30-34","477","536","28","0"
"35-39","441","469","33","0"
"40-44","478","361","26","0"
"45-49","516","374","35","1"
"50-54","563","531","58","2"
"55-59","545","501","70","4"
"60-64","349","361","79","7"
"65-69","205","248","89","15"
"70-74","218","247","124","29"
"75-79","296","255","165","54"
"80-84","532","337","276","105"
"85-89","481","206","183","101"
"90+","513","143","134","115"

"Datenstand 11.02.2021 20:52:25"
