"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","693","688","33","1"
"05-09","810","875","15","0"
"10-14","833","1.021","21","0"
"15-19","1.213","1.274","34","0"
"20-24","1.548","1.578","72","0"
"25-29","1.438","1.455","86","0"
"30-34","1.411","1.572","102","2"
"35-39","1.337","1.415","117","2"
"40-44","1.377","1.279","128","1"
"45-49","1.328","1.195","147","3"
"50-54","1.454","1.525","190","9"
"55-59","1.379","1.407","227","20"
"60-64","855","977","228","23"
"65-69","488","567","212","40"
"70-74","494","499","274","71"
"75-79","524","472","343","119"
"80-84","803","521","495","217"
"85-89","642","315","327","194"
"90+","678","193","230","208"

"Datenstand 05.06.2021 19:19:16"
