"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","538","555","22","1"
"05-09","592","673","10","0"
"10-14","634","750","15","0"
"15-19","966","1.011","29","0"
"20-24","1.298","1.325","50","0"
"25-29","1.223","1.233","63","0"
"30-34","1.195","1.342","75","1"
"35-39","1.114","1.214","89","0"
"40-44","1.192","1.077","95","1"
"45-49","1.107","1.005","111","2"
"50-54","1.260","1.315","138","5"
"55-59","1.198","1.201","172","18"
"60-64","742","846","163","19"
"65-69","432","492","176","34"
"70-74","436","443","224","63"
"75-79","481","431","294","106"
"80-84","760","494","440","194"
"85-89","620","299","283","180"
"90+","658","186","198","191"

"Datenstand 26.04.2021 20:16:00"
