"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","700","696","35","1"
"05-09","826","884","15","0"
"10-14","847","1.046","21","0"
"15-19","1.230","1.287","35","0"
"20-24","1.562","1.590","77","0"
"25-29","1.454","1.467","88","0"
"30-34","1.426","1.591","107","2"
"35-39","1.348","1.421","124","2"
"40-44","1.397","1.289","133","1"
"45-49","1.343","1.212","149","3"
"50-54","1.461","1.535","197","10"
"55-59","1.390","1.418","238","20"
"60-64","858","988","231","23"
"65-69","490","570","218","40"
"70-74","497","500","282","72"
"75-79","524","471","349","121"
"80-84","806","526","502","222"
"85-89","642","316","332","196"
"90+","678","193","231","211"

"Datenstand 16.06.2021 20:26:36"
