"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","32","40","4","0"
"05-09","48","49","3","0"
"10-14","60","60","4","0"
"15-19","103","87","5","0"
"20-24","170","170","8","0"
"25-29","189","178","17","0"
"30-34","157","162","15","0"
"35-39","158","133","10","0"
"40-44","144","137","15","0"
"45-49","143","159","22","3"
"50-54","218","205","26","0"
"55-59","200","212","49","6"
"60-64","116","115","43","8"
"65-69","81","88","51","10"
"70-74","73","72","49","18"
"75-79","105","82","89","26"
"80-84","105","96","103","37"
"85-89","70","36","50","26"
"90+","72","21","28","27"

"Datenstand 17.09.2020 19:31:08"
