"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.518,81","4.801","+50","462","+5","189","+2"
"Segeberg","SE","1.253,72","3.475","+42","130","+3","82",""
"Stormarn","OD","1.137,39","2.777","+50","274","+3","110",""
"Herzogtum Lauenburg","RZ","1.295,84","2.566","+34","179","","66",""
"Lübeck","HL","1.151,34","2.493","+28","238","","67",""
"Kiel","KI","819,71","2.023","+20","184","+3","48",""
"Rendsburg-Eckernförde","RD","646,85","1.773","+21","153","+1","24",""
"Schleswig-Flensburg","SL","822,74","1.655","+12","71","","24",""
"Ostholstein","OH","820,29","1.645","+44","196","+2","60",""
"Flensburg","FL","1.802,27","1.625","+17","104","","29",""
"Nordfriesland","NF","858,69","1.425","+2","190","-1","47",""
"Steinburg","IZ","796,10","1.043","+20","79","+8","10",""
"Neumünster","NMS","1.088,58","873","+7","65","","8",""
"Dithmarschen","HEI","527,81","703","+13","59","","9",""
"Plön","PLO","430,51","554","+2","77","","14",""
"-"
"Schleswig-Holstein","SH","1.013,54","29.431","+362","2.461","+24","787","+2"

"Datenstand 15.04.2021 19:16:38"
