"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.560,88","4.934","+30","467","+2","190",""
"Segeberg","SE","1.279,34","3.546","+8","136","+1","83",""
"Stormarn","OD","1.167,70","2.851","+18","276","+1","110",""
"Herzogtum Lauenburg","RZ","1.330,68","2.635","","180","","66",""
"Lübeck","HL","1.170,28","2.534","+5","240","","67",""
"Kiel","KI","849,29","2.096","+20","186","+1","48",""
"Rendsburg-Eckernförde","RD","664,36","1.821","+10","154","+1","24",""
"Ostholstein","OH","848,21","1.701","+4","197","","60",""
"Schleswig-Flensburg","SL","837,16","1.684","+9","71","","24",""
"Flensburg","FL","1.813,36","1.635","+3","104","","29",""
"Nordfriesland","NF","878,57","1.458","+8","195","","47",""
"Steinburg","IZ","829,69","1.087","+3","79","","10",""
"Neumünster","NMS","1.114,77","894","+7","65","","8",""
"Dithmarschen","HEI","551,08","734","+6","60","","9",""
"Plön","PLO","456,93","588","+7","79","","14",""
"-"
"Schleswig-Holstein","SH","1.039,96","30.198","+138","2.489","+6","789",""

"Datenstand 18.04.2021 18:35:08"
