"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","55","57","6","0"
"05-09","63","61","3","0"
"10-14","86","85","4","0"
"15-19","152","132","5","0"
"20-24","234","260","9","0"
"25-29","238","253","18","0"
"30-34","210","223","20","0"
"35-39","188","176","10","1"
"40-44","179","173","19","0"
"45-49","185","201","26","3"
"50-54","264","248","32","0"
"55-59","231","257","52","6"
"60-64","148","145","47","8"
"65-69","90","102","52","10"
"70-74","86","82","51","18"
"75-79","118","87","94","27"
"80-84","115","106","109","37"
"85-89","76","39","54","26"
"90+","73","24","29","27"

"Datenstand 15.10.2020 19:24:24"
