"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","990","1.011","55","1"
"05-09","1.430","1.492","29","0"
"10-14","1.625","1.825","34","0"
"15-19","1.874","1.973","52","0"
"20-24","2.153","2.283","111","0"
"25-29","2.010","2.060","144","0"
"30-34","1.945","2.167","169","2"
"35-39","1.850","1.874","187","3"
"40-44","1.871","1.727","186","4"
"45-49","1.701","1.566","181","4"
"50-54","1.775","1.857","255","18"
"55-59","1.631","1.687","298","25"
"60-64","1.006","1.169","276","26"
"65-69","584","667","259","48"
"70-74","554","555","321","78"
"75-79","580","516","390","130"
"80-84","870","576","550","231"
"85-89","695","341","355","204"
"90+","735","208","254","220"

"Datenstand 04.10.2021 18:35:28"
