"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","551,86","1.735","+36","192","+4","49","+1"
"Stormarn","OD","537,43","1.307","+37","70","","45",""
"Segeberg","SE","434,01","1.198","+28","91","+2","21","+1"
"Lübeck","HL","395,95","860","+56","29","","4",""
"Kiel","KI","336,10","832","+19","113","+2","15",""
"Herzogtum Lauenburg","RZ","382,74","755","+12","59","","19",""
"Rendsburg-Eckernförde","RD","267,62","730","+14","76","+3","16","+1"
"Nordfriesland","NF","319,62","529","+10","34","+3","2",""
"Dithmarschen","HEI","347,57","463","+1","63","","13",""
"Schleswig-Flensburg","SL","222,97","446","+6","31","","6",""
"Ostholstein","OH","204,41","410","+14","29","+1","1",""
"Steinburg","IZ","263,42","346","+5","34","","3",""
"Neumünster","NMS","426,48","339","+7","16","","3",""
"Plön","PLO","203,66","262","+5","48","","8",""
"Flensburg","FL","281,55","252","+2","10","","3",""
"-"
"Schleswig-Holstein","SH","361,24","10.464","+252","895","+15","208","+3"

"Datenstand 10.11.2020 21:53:24"
