"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","136","14","7"
"02.01.2021","263","35","25"
"03.01.2021","201","37","10"
"04.01.2021","260","35","15"
"05.01.2021","538","55","12"
"06.01.2021","532","45","22"
"07.01.2021","478","32","13"
"08.01.2021","523","43","18"
"09.01.2021","405","34","13"
"10.01.2021","141","19","14"
"11.01.2021","258","45","14"
"12.01.2021","403","48","15"
"13.01.2021","489","50","18"
"14.01.2021","421","41","13"
"15.01.2021","412","60","18"
"16.01.2021","352","33","18"
"17.01.2021","201","24","10"
"18.01.2021","238","27","9"
"19.01.2021","469","48","25"
"20.01.2021","483","46","16"
"21.01.2021","496","48","21"
"22.01.2021","460","41","27"
"23.01.2021","439","40","11"
"24.01.2021","156","24","9"
"25.01.2021","163","36","16"
"26.01.2021","544","44","17"
"27.01.2021","463","48","21"
"28.01.2021","383","45","15"
"29.01.2021","346","45","29"
"30.01.2021","260","20","5"
"31.01.2021","179","18","7"
"01.02.2021","129","21","5"
"02.02.2021","361","33","11"
"03.02.2021","339","28","7"
"04.02.2021","327","42","8"
"05.02.2021","261","24","5"
"06.02.2021","268","18","5"
"07.02.2021","106","14","0"
"08.02.2021","135","31","6"
"09.02.2021","312","14","4"
"10.02.2021","335","19","5"
"11.02.2021","357","25","4"
"12.02.2021","227","15","0"
"13.02.2021","190","9","2"
"14.02.2021","115","11","2"
"15.02.2021","142","9","1"
"16.02.2021","248","13","3"
"17.02.2021","245","11","1"
"18.02.2021","255","15","1"
"19.02.2021","268","12","0"
"20.02.2021","199","11","0"
"21.02.2021","113","8","0"
"22.02.2021","103","7","0"

"Datenstand 22.02.2021 19:57:37"
