"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","420,18","1.321","+84","98","+7","20",""
"Segeberg","SE","263,74","728","+27","25","+1","17","+5"
"Stormarn","OD","282,08","686","+36","51","+4","10","+2"
"Lübeck","HL","285,45","620","+55","24","","8","+2"
"Kiel","KI","211,27","523","+33","61","+7","12",""
"Herzogtum Lauenburg","RZ","254,99","503","+27","19","+2","11",""
"Nordfriesland","NF","294,25","487","+31","88","+6","4","+2"
"Ostholstein","OH","213,38","428","+54","64","+7","9",""
"Rendsburg-Eckernförde","RD","152,87","417","+31","48","+3","2",""
"Flensburg","FL","399,98","358","+42","13","+1","6",""
"Schleswig-Flensburg","SL","170,48","341","+11","18","+1","6",""
"Steinburg","IZ","175,87","231","+10","12","+4","1",""
"Neumünster","NMS","262,94","209","","12","","1",""
"Dithmarschen","HEI","144,88","193","+12","13","","2",""
"Plön","PLO","113,49","146","+6","29","+1","3",""
"-"
"Schleswig-Holstein","SH","248,25","7.191","+459","575","+44","112","+11"

"Datenstand 20.01.2021 20:19:09"
