"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","296","321","17","0"
"05-09","289","367","5","0"
"10-14","342","408","10","0"
"15-19","609","648","19","0"
"20-24","890","887","29","0"
"25-29","848","835","41","0"
"30-34","816","893","50","1"
"35-39","723","778","62","0"
"40-44","800","673","63","0"
"45-49","783","659","65","2"
"50-54","882","885","96","3"
"55-59","859","833","113","11"
"60-64","517","581","125","17"
"65-69","310","360","132","29"
"70-74","322","341","183","53"
"75-79","385","345","231","85"
"80-84","678","428","390","180"
"85-89","570","265","252","169"
"90+","616","176","179","180"

"Datenstand 23.03.2021 20:19:00"
