"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","254","265","13","0"
"05-09","316","340","8","0"
"10-14","447","453","11","0"
"15-19","782","787","23","0"
"20-24","935","1.002","29","0"
"25-29","911","962","41","0"
"30-34","852","846","60","0"
"35-39","850","769","43","2"
"40-44","829","759","49","2"
"45-49","833","804","80","3"
"50-54","1.006","1.022","92","0"
"55-59","881","905","110","9"
"60-64","578","617","112","12"
"65-69","321","368","110","15"
"70-74","304","284","144","35"
"75-79","337","283","184","46"
"80-84","462","324","240","86"
"85-89","346","172","134","71"
"90+","397","99","104","74"

"Datenstand 24.12.2020 20:02:54"
