"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","760,84","2.392","","228","","50",""
"Stormarn","OD","710,95","1.729","+32","95","","54","+2"
"Segeberg","SE","577,11","1.593","+21","115","+3","33",""
"Kiel","KI","495,26","1.226","+19","141","+2","16",""
"Lübeck","HL","543,28","1.180","+20","51","","6",""
"Herzogtum Lauenburg","RZ","521,64","1.029","+24","74","+1","24","+1"
"Rendsburg-Eckernförde","RD","338,37","923","+17","96","+1","17",""
"Nordfriesland","NF","399,38","661","","50","","4",""
"Dithmarschen","HEI","449,67","599","+10","69","","14",""
"Ostholstein","OH","295,64","593","+12","40","","3",""
"Schleswig-Flensburg","SL","258,47","517","+2","38","","7",""
"Neumünster","NMS","567,39","451","+8","31","+2","6",""
"Steinburg","IZ","330,42","434","+5","40","+1","3",""
"Plön","PLO","249,52","321","+6","57","+2","8",""
"Flensburg","FL","354,17","317","+4","16","","3",""
"-"
"Schleswig-Holstein","SH","482,10","13.965","+180","1.141","+12","248","+3"

"Datenstand 27.11.2020 20:36:51"
