"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.965,50","6.213","+3","658","+1","223",""
"Segeberg","SE","1.558,94","4.321","+1","364","","93",""
"Stormarn","OD","1.584,64","3.869","+3","353","","127",""
"Herzogtum Lauenburg","RZ","1.733,17","3.432","","255","","73",""
"Lübeck","HL","1.468,16","3.179","+3","260","","74",""
"Kiel","KI","1.274,75","3.146","+2","270","","58",""
"Rendsburg-Eckernförde","RD","885,81","2.428","+1","204","","35",""
"Ostholstein","OH","1.125,47","2.257","+1","237","","67",""
"Schleswig-Flensburg","SL","987,29","1.986","","88","","31",""
"Nordfriesland","NF","1.091,89","1.812","+1","210","","54",""
"Flensburg","FL","1.966,42","1.773","+2","110","","29",""
"Steinburg","IZ","1.147,98","1.504","","141","","20",""
"Neumünster","NMS","1.442,72","1.157","+2","88","+1","9",""
"Dithmarschen","HEI","765,06","1.019","","91","","20",""
"Plön","PLO","632,55","814","+1","106","","18",""
"-"
"Schleswig-Holstein","SH","1.339,98","38.910","+20","3.435","+2","931",""

"Datenstand 03.07.2021 19:45:19"
