"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.228,72","3.863","+107","334","+8","72",""
"Stormarn","OD","1.178,06","2.865","+150","146","+6","71","+1"
"Segeberg","SE","862,22","2.380","+99","134","+2","45",""
"Lübeck","HL","1.087,49","2.362","+65","73","","16",""
"Kiel","KI","856,00","2.119","+46","211","+6","32",""
"Herzogtum Lauenburg","RZ","792,34","1.563","+42","91","+2","27","+1"
"Rendsburg-Eckernförde","RD","562,73","1.535","+28","126","+6","17",""
"Ostholstein","OH","493,07","989","+38","69","+1","8",""
"Nordfriesland","NF","544,99","902","+23","59","","11","+2"
"Dithmarschen","HEI","662,11","882","+14","87","+2","16",""
"Steinburg","IZ","582,43","765","+27","53","+1","6",""
"Schleswig-Flensburg","SL","365,45","731","+57","52","","7",""
"Neumünster","NMS","811,45","645","+6","36","","9",""
"Plön","PLO","384,77","495","+10","69","+1","9",""
"Flensburg","FL","502,77","450","+10","26","","6",""
"-"
"Schleswig-Holstein","SH","778,33","22.546","+722","1.566","+35","352","+4"

"Datenstand 23.12.2020 21:22:20"
