"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","263,05","827","+2","140","","47",""
"Stormarn","OD","254,53","619","+8","56","","35",""
"Kiel","KI","185,42","459","+1","79","","11",""
"Segeberg","SE","164,84","455","+2","47","","7",""
"Herzogtum Lauenburg","RZ","178,44","352","+1","51","","18",""
"Rendsburg-Eckernförde","RD","126,11","344","+3","51","","14",""
"Lübeck","HL","127,07","276","+7","13","","1",""
"Steinburg","IZ","160,64","211","+2","25","","3",""
"Dithmarschen","HEI","149,39","199","+21","31","+3","5",""
"Schleswig-Flensburg","SL","93,49","187","","21","","4",""
"Neumünster","NMS","207,58","165","+3","13","+2","3",""
"Plön","PLO","125,93","162","+2","36","","8",""
"Ostholstein","OH","65,81","132","+5","17","+2","0",""
"Nordfriesland","NF","71,90","119","+1","17","","2",""
"Flensburg","FL","107,26","96","+5","7","","3",""
"-"
"Schleswig-Holstein","SH","158,90","4.603","+63","604","+7","161",""

"Datenstand 24.09.2020 19:30:43"
