"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","71","75","7","0"
"05-09","87","83","4","0"
"10-14","117","111","4","0"
"15-19","192","183","7","0"
"20-24","284","308","10","0"
"25-29","292","307","19","0"
"30-34","255","270","24","0"
"35-39","232","226","13","1"
"40-44","222","213","19","0"
"45-49","222","241","28","3"
"50-54","315","303","37","0"
"55-59","280","312","56","6"
"60-64","188","185","53","8"
"65-69","109","122","56","10"
"70-74","105","95","57","19"
"75-79","135","103","103","29"
"80-84","140","123","118","38"
"85-89","87","46","62","26"
"90+","92","28","33","27"

"Datenstand 25.10.2020 21:00:09"
