"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","617,07","1.940","+86","157","+12","49","+5"
"Segeberg","SE","374,59","1.034","+99","39","","30","+1"
"Lübeck","HL","435,55","946","+92","84","+4","14","+1"
"Stormarn","OD","369,25","898","+40","76","+10","10",""
"Herzogtum Lauenburg","RZ","340,15","671","+29","25","+3","15",""
"Kiel","KI","267,42","662","+23","74","","23","+2"
"Nordfriesland","NF","395,75","655","+19","107","+3","15","+3"
"Ostholstein","OH","291,65","585","+36","97","+6","10",""
"Rendsburg-Eckernförde","RD","201,63","550","+12","54","+1","4","+1"
"Flensburg","FL","539,64","483","+13","19","","9","+1"
"Schleswig-Flensburg","SL","230,47","461","+23","23","+1","7",""
"Steinburg","IZ","223,83","294","+11","19","+6","1",""
"Neumünster","NMS","361,07","287","+6","24","","2",""
"Dithmarschen","HEI","201,19","268","+15","16","","3",""
"Plön","PLO","150,80","194","+5","42","+5","4",""
"-"
"Schleswig-Holstein","SH","342,73","9.928","+509","856","+51","196","+14"

"Datenstand 27.01.2021 20:17:07"
