"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","551","566","22","1"
"05-09","610","687","10","0"
"10-14","652","772","15","0"
"15-19","991","1.045","29","0"
"20-24","1.317","1.356","51","0"
"25-29","1.247","1.263","63","0"
"30-34","1.218","1.374","77","1"
"35-39","1.135","1.239","90","0"
"40-44","1.213","1.109","99","1"
"45-49","1.132","1.019","113","2"
"50-54","1.279","1.343","140","5"
"55-59","1.227","1.226","176","18"
"60-64","759","865","165","20"
"65-69","439","503","179","34"
"70-74","445","449","227","63"
"75-79","488","436","297","106"
"80-84","762","499","447","195"
"85-89","623","302","284","180"
"90+","660","187","201","194"

"Datenstand 28.04.2021 19:08:22"
