"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","13","6"
"02.01.2021","261","31","19"
"03.01.2021","202","35","7"
"04.01.2021","260","28","8"
"05.01.2021","538","47","8"
"06.01.2021","534","35","10"
"07.01.2021","478","26","8"
"08.01.2021","523","35","7"
"09.01.2021","407","29","6"
"10.01.2021","141","14","6"
"11.01.2021","260","39","5"
"12.01.2021","399","34","3"
"13.01.2021","491","33","2"
"14.01.2021","423","27","3"
"15.01.2021","421","41","0"
"16.01.2021","358","18","2"
"17.01.2021","203","17","1"
"18.01.2021","241","16","0"
"19.01.2021","455","13","0"

"Datenstand 19.01.2021 20:45:42"
