"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","932","952","51","1"
"05-09","1.302","1.357","26","0"
"10-14","1.459","1.659","29","0"
"15-19","1.782","1.876","51","0"
"20-24","2.070","2.173","104","0"
"25-29","1.916","1.969","131","0"
"30-34","1.849","2.048","157","2"
"35-39","1.754","1.773","168","3"
"40-44","1.792","1.625","178","4"
"45-49","1.623","1.507","174","4"
"50-54","1.711","1.782","240","16"
"55-59","1.574","1.623","280","25"
"60-64","970","1.137","267","25"
"65-69","557","635","249","45"
"70-74","534","536","309","77"
"75-79","555","507","379","125"
"80-84","855","559","533","228"
"85-89","677","335","353","203"
"90+","719","205","250","217"

"Datenstand 14.09.2021 18:41:11"
