"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","15","7"
"02.01.2021","263","35","26"
"03.01.2021","201","37","11"
"04.01.2021","261","33","17"
"05.01.2021","540","58","12"
"06.01.2021","531","45","23"
"07.01.2021","477","32","13"
"08.01.2021","523","43","19"
"09.01.2021","406","37","15"
"10.01.2021","141","18","14"
"11.01.2021","258","46","15"
"12.01.2021","403","48","18"
"13.01.2021","487","50","20"
"14.01.2021","419","42","14"
"15.01.2021","410","60","20"
"16.01.2021","351","35","22"
"17.01.2021","202","25","15"
"18.01.2021","238","30","12"
"19.01.2021","465","51","27"
"20.01.2021","482","49","23"
"21.01.2021","498","53","23"
"22.01.2021","462","42","29"
"23.01.2021","439","41","11"
"24.01.2021","156","25","10"
"25.01.2021","161","36","18"
"26.01.2021","542","45","23"
"27.01.2021","464","52","25"
"28.01.2021","383","47","16"
"29.01.2021","346","50","31"
"30.01.2021","262","20","5"
"31.01.2021","178","19","7"
"01.02.2021","130","24","7"
"02.02.2021","360","35","11"
"03.02.2021","339","30","12"
"04.02.2021","323","43","12"
"05.02.2021","260","28","6"
"06.02.2021","268","22","8"
"07.02.2021","106","14","1"
"08.02.2021","136","32","11"
"09.02.2021","312","20","8"
"10.02.2021","334","24","16"
"11.02.2021","355","29","7"
"12.02.2021","224","19","4"
"13.02.2021","190","10","3"
"14.02.2021","116","12","7"
"15.02.2021","142","11","2"
"16.02.2021","249","15","5"
"17.02.2021","246","17","6"
"18.02.2021","255","26","11"
"19.02.2021","268","25","6"
"20.02.2021","200","20","2"
"21.02.2021","113","12","2"
"22.02.2021","104","9","7"
"23.02.2021","283","27","4"
"24.02.2021","252","21","7"
"25.02.2021","249","16","4"
"26.02.2021","266","24","6"
"27.02.2021","198","18","1"
"28.02.2021","90","10","2"
"01.03.2021","103","15","5"
"02.03.2021","223","19","5"
"03.03.2021","254","20","6"
"04.03.2021","229","13","3"
"05.03.2021","217","19","1"
"06.03.2021","213","19","2"
"07.03.2021","72","3","1"
"08.03.2021","114","12","2"
"09.03.2021","254","15","2"
"10.03.2021","272","18","2"
"11.03.2021","266","18","2"
"12.03.2021","236","16","2"
"13.03.2021","271","27","3"
"14.03.2021","78","6","1"
"15.03.2021","130","15","2"
"16.03.2021","313","26","6"
"17.03.2021","327","19","4"
"18.03.2021","289","15","1"
"19.03.2021","282","20","2"
"20.03.2021","298","15","2"
"21.03.2021","95","7","0"
"22.03.2021","157","10","0"
"23.03.2021","293","22","4"
"24.03.2021","328","17","1"
"25.03.2021","373","20","5"
"26.03.2021","379","18","3"
"27.03.2021","310","16","1"
"28.03.2021","158","12","1"
"29.03.2021","201","12","1"
"30.03.2021","358","19","1"
"31.03.2021","396","25","6"
"01.04.2021","360","18","4"
"02.04.2021","322","11","1"
"03.04.2021","202","20","3"
"04.04.2021","170","11","2"
"05.04.2021","205","13","1"
"06.04.2021","201","27","1"
"07.04.2021","413","24","3"
"08.04.2021","398","19","0"
"09.04.2021","358","18","0"
"10.04.2021","361","14","1"
"11.04.2021","170","12","2"
"12.04.2021","204","17","0"
"13.04.2021","424","25","2"
"14.04.2021","375","23","4"
"15.04.2021","345","17","3"
"16.04.2021","287","16","3"
"17.04.2021","326","11","1"
"18.04.2021","174","10","3"
"19.04.2021","206","13","1"
"20.04.2021","411","18","0"
"21.04.2021","379","19","0"
"22.04.2021","366","20","2"
"23.04.2021","336","13","2"
"24.04.2021","332","22","4"
"25.04.2021","115","12","0"
"26.04.2021","169","8","0"
"27.04.2021","365","21","3"
"28.04.2021","285","14","1"
"29.04.2021","267","12","0"
"30.04.2021","265","12","1"
"01.05.2021","243","9","2"
"02.05.2021","91","7","0"
"03.05.2021","158","11","0"
"04.05.2021","291","10","0"
"05.05.2021","295","12","0"
"06.05.2021","228","12","0"
"07.05.2021","224","6","1"
"08.05.2021","208","8","0"
"09.05.2021","101","4","0"
"10.05.2021","112","3","0"

"Datenstand 10.05.2021 18:57:21"
