"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.853,51","5.859","+17","615","+2","213","+1"
"Segeberg","SE","1.494,72","4.143","+11","238","+1","90","+1"
"Stormarn","OD","1.491,26","3.641","+13","335","+1","118",""
"Herzogtum Lauenburg","RZ","1.660,45","3.288","+11","224","+1","69",""
"Lübeck","HL","1.396,11","3.023","+8","258","","73",""
"Kiel","KI","1.208,30","2.982","+19","249","+1","53",""
"Rendsburg-Eckernförde","RD","836,20","2.292","+9","194","+1","32",""
"Ostholstein","OH","1.085,08","2.176","+4","235","+1","65",""
"Schleswig-Flensburg","SL","967,91","1.947","+3","84","+1","30",""
"Flensburg","FL","1.936,47","1.746","+1","108","","29",""
"Nordfriesland","NF","1.035,25","1.718","+7","206","","52",""
"Steinburg","IZ","1.109,81","1.454","+5","127","+7","17",""
"Neumünster","NMS","1.407,80","1.129","+6","85","+1","9",""
"Dithmarschen","HEI","738,78","984","","86","","13",""
"Plön","PLO","610,01","785","+2","100","+1","17",""
"-"
"Schleswig-Holstein","SH","1.279,96","37.167","+116","3.144","+18","880","+2"

"Datenstand 20.05.2021 19:18:57"
