"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","51","54","6","0"
"05-09","59","59","3","0"
"10-14","81","79","4","0"
"15-19","141","126","5","0"
"20-24","225","243","9","0"
"25-29","230","236","18","0"
"30-34","198","206","18","0"
"35-39","179","160","10","0"
"40-44","173","163","19","0"
"45-49","172","191","26","3"
"50-54","250","238","30","0"
"55-59","221","241","49","6"
"60-64","137","141","46","8"
"65-69","87","99","52","10"
"70-74","84","78","51","18"
"75-79","115","86","92","27"
"80-84","111","105","108","37"
"85-89","76","37","53","26"
"90+","73","24","29","27"

"Datenstand 10.10.2020 19:31:19"
