"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","270","303","15","0"
"05-09","267","338","5","0"
"10-14","325","384","10","0"
"15-19","587","625","18","0"
"20-24","859","851","27","0"
"25-29","821","808","40","0"
"30-34","786","862","47","1"
"35-39","691","754","58","0"
"40-44","767","639","61","0"
"45-49","762","627","60","1"
"50-54","847","854","90","3"
"55-59","829","801","112","10"
"60-64","500","555","123","17"
"65-69","297","354","130","26"
"70-74","309","337","178","50"
"75-79","377","339","228","85"
"80-84","667","422","383","179"
"85-89","563","262","248","167"
"90+","615","176","180","180"

"Datenstand 19.03.2021 20:14:40"
