"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","6"
"02.01.2021","261","31","21"
"03.01.2021","202","36","7"
"04.01.2021","260","28","8"
"05.01.2021","538","47","9"
"06.01.2021","533","36","12"
"07.01.2021","478","28","9"
"08.01.2021","523","35","7"
"09.01.2021","407","29","7"
"10.01.2021","141","14","6"
"11.01.2021","259","41","5"
"12.01.2021","397","35","3"
"13.01.2021","491","33","2"
"14.01.2021","422","30","4"
"15.01.2021","418","43","2"
"16.01.2021","356","20","2"
"17.01.2021","202","18","1"
"18.01.2021","239","17","1"
"19.01.2021","464","24","0"
"20.01.2021","463","16","0"

"Datenstand 20.01.2021 20:19:09"
