"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","662","667","31","1"
"05-09","769","839","13","0"
"10-14","804","973","19","0"
"15-19","1.179","1.234","34","0"
"20-24","1.516","1.550","72","0"
"25-29","1.407","1.423","81","0"
"30-34","1.371","1.530","99","1"
"35-39","1.310","1.375","109","2"
"40-44","1.360","1.252","122","1"
"45-49","1.296","1.166","142","2"
"50-54","1.431","1.494","174","7"
"55-59","1.358","1.385","216","20"
"60-64","844","959","210","22"
"65-69","480","559","206","38"
"70-74","487","496","265","70"
"75-79","518","467","336","117"
"80-84","796","516","487","209"
"85-89","636","313","316","191"
"90+","670","191","223","204"

"Datenstand 23.05.2021 18:50:48"
