"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","43","45","5","0"
"05-09","55","52","3","0"
"10-14","73","70","4","0"
"15-19","130","112","5","0"
"20-24","200","209","9","0"
"25-29","210","210","17","0"
"30-34","176","176","17","0"
"35-39","169","145","10","0"
"40-44","160","146","17","0"
"45-49","155","174","24","3"
"50-54","232","214","28","0"
"55-59","207","224","49","6"
"60-64","125","126","44","8"
"65-69","85","90","51","10"
"70-74","77","74","50","18"
"75-79","110","82","91","27"
"80-84","109","99","106","37"
"85-89","73","36","50","26"
"90+","72","23","28","27"

"Datenstand 29.09.2020 19:07:10"
