"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.964,23","6.209","+2","657","","223",""
"Segeberg","SE","1.556,78","4.315","","364","","93",""
"Stormarn","OD","1.582,59","3.864","+2","353","","127",""
"Herzogtum Lauenburg","RZ","1.732,66","3.431","","255","","73",""
"Lübeck","HL","1.466,31","3.175","+4","260","","74",""
"Kiel","KI","1.273,53","3.143","","270","","58","+2"
"Rendsburg-Eckernförde","RD","885,45","2.427","+3","204","","35",""
"Ostholstein","OH","1.123,47","2.253","","237","","67",""
"Schleswig-Flensburg","SL","987,29","1.986","+1","88","+1","31",""
"Nordfriesland","NF","1.090,68","1.810","+2","210","","54",""
"Flensburg","FL","1.964,20","1.771","","110","","29",""
"Steinburg","IZ","1.147,21","1.503","","141","","20",""
"Neumünster","NMS","1.440,22","1.155","","87","","9",""
"Dithmarschen","HEI","765,06","1.019","","91","","20",""
"Plön","PLO","630,99","812","","106","","18",""
"-"
"Schleswig-Holstein","SH","1.338,71","38.873","+14","3.433","+1","931","+2"

"Datenstand 01.07.2021 19:50:52"
