"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","990","1.011","55","1"
"05-09","1.425","1.487","28","0"
"10-14","1.621","1.823","34","0"
"15-19","1.871","1.969","52","0"
"20-24","2.150","2.273","111","0"
"25-29","2.004","2.056","143","0"
"30-34","1.941","2.164","168","2"
"35-39","1.848","1.867","185","3"
"40-44","1.868","1.720","184","4"
"45-49","1.698","1.563","181","4"
"50-54","1.770","1.851","253","18"
"55-59","1.627","1.685","296","25"
"60-64","1.005","1.170","276","26"
"65-69","583","665","259","47"
"70-74","553","555","320","78"
"75-79","580","516","390","129"
"80-84","870","575","549","231"
"85-89","692","342","354","204"
"90+","735","208","254","219"

"Datenstand 03.10.2021 20:22:26"
