"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","246","278","12","0"
"05-09","244","306","3","0"
"10-14","309","364","10","0"
"15-19","554","595","17","0"
"20-24","817","814","26","0"
"25-29","784","763","38","0"
"30-34","729","822","46","1"
"35-39","664","722","55","0"
"40-44","733","609","57","0"
"45-49","738","599","59","1"
"50-54","817","808","86","3"
"55-59","786","760","108","9"
"60-64","481","534","119","16"
"65-69","288","345","127","25"
"70-74","296","328","171","48"
"75-79","372","331","226","85"
"80-84","654","418","374","177"
"85-89","560","260","242","166"
"90+","613","176","178","179"

"Datenstand 16.03.2021 21:06:41"
