"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","872,16","2.742","+42","276","+5","117","+3"
"Lübeck","HL","669,90","1.455","+30","168","+1","38","+6"
"Segeberg","SE","479,29","1.323","+24","63","+3","55","+2"
"Stormarn","OD","488,08","1.187","+26","131","+8","38",""
"Herzogtum Lauenburg","RZ","521,13","1.028","+24","61","+4","26",""
"Nordfriesland","NF","568,56","941","+86","144","+2","31",""
"Ostholstein","OH","451,19","905","+20","144","+1","33",""
"Kiel","KI","346,20","857","+17","98","","29","+1"
"Flensburg","FL","852,48","763","+34","40","","17","+1"
"Schleswig-Flensburg","SL","371,45","743","+25","41","+1","15",""
"Rendsburg-Eckernförde","RD","262,49","716","+11","79","","13",""
"Steinburg","IZ","321,29","422","+2","25","","2",""
"Neumünster","NMS","494,42","393","+14","36","+2","6",""
"Dithmarschen","HEI","241,72","322","+8","16","","7",""
"Plön","PLO","195,11","251","+1","51","","6",""
"-"
"Schleswig-Holstein","SH","484,96","14.048","+364","1.373","+27","433","+13"

"Datenstand 11.02.2021 20:52:25"
