"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","666","670","31","1"
"05-09","771","846","13","0"
"10-14","807","977","21","0"
"15-19","1.183","1.235","34","0"
"20-24","1.520","1.554","72","0"
"25-29","1.410","1.433","81","0"
"30-34","1.379","1.540","100","1"
"35-39","1.314","1.377","109","2"
"40-44","1.362","1.256","124","1"
"45-49","1.306","1.168","144","2"
"50-54","1.433","1.498","174","8"
"55-59","1.363","1.386","216","20"
"60-64","846","966","211","22"
"65-69","482","559","206","38"
"70-74","488","496","267","70"
"75-79","518","467","336","118"
"80-84","796","517","487","210"
"85-89","636","313","318","192"
"90+","670","191","225","204"

"Datenstand 25.05.2021 19:10:24"
