"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","709,63","2.231","+55","216","+1","49",""
"Stormarn","OD","664,90","1.617","+4","81","+3","49","+1"
"Segeberg","SE","534,00","1.474","+14","106","+3","31",""
"Lübeck","HL","507,83","1.103","","47","","5",""
"Kiel","KI","443,95","1.099","+22","134","+1","16",""
"Herzogtum Lauenburg","RZ","478,04","943","+11","70","","23",""
"Rendsburg-Eckernförde","RD","322,61","880","+8","89","+2","17",""
"Nordfriesland","NF","389,71","645","+3","50","","4",""
"Dithmarschen","HEI","421,89","562","+2","67","","14",""
"Ostholstein","OH","276,20","554","+3","38","+1","3","+1"
"Schleswig-Flensburg","SL","251,47","503","+4","37","","6",""
"Neumünster","NMS","530,90","422","+8","28","","6","+1"
"Steinburg","IZ","314,43","413","+5","38","+1","3",""
"Flensburg","FL","339,65","304","+2","13","+1","3",""
"Plön","PLO","235,53","303","+4","54","","8",""
"-"
"Schleswig-Holstein","SH","450,61","13.053","+145","1.068","+13","237","+3"

"Datenstand 23.11.2020 20:04:50"
