"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","522","540","21","1"
"05-09","575","653","9","0"
"10-14","611","732","15","0"
"15-19","943","984","28","0"
"20-24","1.269","1.294","48","0"
"25-29","1.204","1.207","62","0"
"30-34","1.171","1.310","69","1"
"35-39","1.091","1.194","85","0"
"40-44","1.167","1.049","92","1"
"45-49","1.090","985","105","2"
"50-54","1.231","1.300","136","5"
"55-59","1.184","1.184","164","17"
"60-64","730","831","160","19"
"65-69","428","487","175","33"
"70-74","435","439","222","63"
"75-79","473","427","291","105"
"80-84","757","490","438","193"
"85-89","619","295","283","178"
"90+","655","184","196","191"

"Datenstand 23.04.2021 19:47:49"
