"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","920","938","50","1"
"05-09","1.269","1.324","26","0"
"10-14","1.418","1.618","27","0"
"15-19","1.748","1.829","51","0"
"20-24","2.031","2.143","100","0"
"25-29","1.884","1.927","124","0"
"30-34","1.828","2.006","152","2"
"35-39","1.728","1.752","164","3"
"40-44","1.767","1.602","176","3"
"45-49","1.596","1.490","173","4"
"50-54","1.689","1.768","237","16"
"55-59","1.559","1.608","278","25"
"60-64","966","1.123","262","25"
"65-69","554","632","247","44"
"70-74","530","534","308","77"
"75-79","553","502","376","123"
"80-84","845","552","527","227"
"85-89","668","328","350","201"
"90+","710","202","247","217"

"Datenstand 09.09.2021 19:28:47"
