"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","53","46","4","0"
"05-09","46","38","1","0"
"10-14","71","74","4","0"
"15-19","145","145","3","0"
"20-24","255","233","6","0"
"25-29","251","208","14","0"
"30-34","189","232","10","0"
"35-39","180","213","13","0"
"40-44","193","144","5","0"
"45-49","199","144","12","0"
"50-54","242","218","14","0"
"55-59","215","187","23","0"
"60-64","160","137","25","0"
"65-69","88","104","20","1"
"70-74","98","109","46","3"
"75-79","117","125","55","13"
"80-84","209","138","93","24"
"85-89","183","88","54","16"
"90+","186","57","43","15"

"Datenstand 16.01.2021 20:10:39"
