"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","59","59","6","0"
"05-09","67","68","3","0"
"10-14","89","95","4","0"
"15-19","154","142","5","0"
"20-24","244","265","10","0"
"25-29","248","265","18","0"
"30-34","219","228","20","0"
"35-39","197","185","10","1"
"40-44","190","177","19","0"
"45-49","192","206","27","3"
"50-54","268","256","34","0"
"55-59","240","264","52","6"
"60-64","153","151","48","8"
"65-69","92","105","52","10"
"70-74","90","82","53","18"
"75-79","122","90","97","27"
"80-84","118","111","109","37"
"85-89","76","40","55","26"
"90+","75","26","31","27"

"Datenstand 18.10.2020 21:42:18"
