"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","902","918","49","1"
"05-09","1.242","1.291","25","0"
"10-14","1.388","1.595","27","0"
"15-19","1.721","1.788","51","0"
"20-24","2.002","2.109","98","0"
"25-29","1.855","1.873","120","0"
"30-34","1.805","1.961","148","2"
"35-39","1.701","1.736","159","3"
"40-44","1.742","1.580","172","2"
"45-49","1.575","1.463","168","4"
"50-54","1.670","1.745","234","16"
"55-59","1.540","1.597","273","25"
"60-64","963","1.113","260","25"
"65-69","546","628","246","44"
"70-74","527","530","305","77"
"75-79","550","499","373","123"
"80-84","841","547","526","227"
"85-89","662","327","347","200"
"90+","706","201","247","217"

"Datenstand 06.09.2021 18:33:41"
